"Lambda,Intensity"
"2.105e+02 5.099e-132"
"2.105e+02 4.190e-130"
"2.105e+02 3.305e-128"
"2.106e+02 2.502e-126"
"2.106e+02 1.819e-124"
"2.106e+02 1.270e-122"
"2.106e+02 8.506e-121"
"2.106e+02 5.471e-119"
"2.107e+02 3.378e-117"
"2.107e+02 2.003e-115"
"2.107e+02 1.140e-113"
"2.107e+02 6.228e-112"
"2.107e+02 3.267e-110"
"2.108e+02 1.645e-108"
"2.108e+02 7.955e-107"
"2.108e+02 3.692e-105"
"2.108e+02 1.645e-103"
"2.108e+02 7.038e-102"
"2.109e+02 2.891e-100"
"2.109e+02,1.140e-98"
"2.109e+02,4.315e-97"
"2.109e+02,1.568e-95"
"2.109e+02,5.471e-94"
"2.110e+02,1.833e-92"
"2.110e+02,5.893e-91"
"2.110e+02,1.819e-89"
"2.110e+02,5.393e-88"
"2.110e+02,1.535e-86"
"2.111e+02,4.193e-85"
"2.111e+02,1.100e-83"
"2.111e+02,2.770e-82"
"2.111e+02,6.696e-81"
"2.111e+02,1.554e-79"
"2.112e+02,3.464e-78"
"2.112e+02,7.411e-77"
"2.112e+02,1.522e-75"
"2.112e+02,3.003e-74"
"2.112e+02,5.686e-73"
"2.113e+02,1.034e-71"
"2.113e+02,1.804e-70"
"2.113e+02,3.023e-69"
"2.113e+02,4.864e-68"
"2.113e+02,7.515e-67"
"2.114e+02,1.115e-65"
"2.114e+02,1.587e-64"
"2.114e+02,2.170e-63"
"2.114e+02,2.849e-62"
"2.114e+02,3.591e-61"
"2.115e+02,4.346e-60"
"2.115e+02,5.050e-59"
"2.115e+02,5.635e-58"
"2.115e+02,6.037e-57"
"2.115e+02,6.210e-56"
"2.116e+02,6.134e-55"
"2.116e+02,5.818e-54"
"2.116e+02,5.298e-53"
"2.116e+02,4.633e-52"
"2.116e+02,3.890e-51"
"2.117e+02,3.137e-50"
"2.117e+02,2.429e-49"
"2.117e+02,1.806e-48"
"2.117e+02,1.289e-47"
"2.117e+02,8.841e-47"
"2.118e+02,5.821e-46"
"2.118e+02,3.681e-45"
"2.118e+02,2.235e-44"
"2.118e+02,1.304e-43"
"2.118e+02,7.302e-43"
"2.119e+02,3.928e-42"
"2.119e+02,2.029e-41"
"2.119e+02,1.007e-40"
"2.119e+02,4.800e-40"
"2.119e+02,2.198e-39"
"2.120e+02,9.664e-39"
"2.120e+02,4.083e-38"
"2.120e+02,1.657e-37"
"2.120e+02,6.459e-37"
"2.120e+02,2.419e-36"
"2.121e+02,8.705e-36"
"2.121e+02,3.010e-35"
"2.121e+02,9.999e-35"
"2.121e+02,3.192e-34"
"2.121e+02,9.793e-34"
"2.122e+02,2.887e-33"
"2.122e+02,8.183e-33"
"2.122e+02,2.229e-32"
"2.122e+02,5.838e-32"
"2.122e+02,1.470e-31"
"2.123e+02,3.559e-31"
"2.123e+02,8.288e-31"
"2.123e+02,1.856e-30"
"2.123e+02,4.000e-30"
"2.123e+02,8.293e-30"
"2.124e+02,1.655e-29"
"2.124e+02,3.179e-29"
"2.124e+02,5.880e-29"
"2.124e+02,1.048e-28"
"2.124e+02,1.799e-28"
"2.125e+02,2.977e-28"
"2.125e+02,4.752e-28"
"2.125e+02,7.319e-28"
"2.125e+02,1.089e-27"
"2.125e+02,1.564e-27"
"2.126e+02,2.174e-27"
"2.126e+02,2.924e-27"
"2.126e+02,3.811e-27"
"2.126e+02,4.819e-27"
"2.126e+02,5.919e-27"
"2.127e+02,7.075e-27"
"2.127e+02,8.243e-27"
"2.127e+02,9.379e-27"
"2.127e+02,1.044e-26"
"2.127e+02,1.141e-26"
"2.128e+02,1.226e-26"
"2.128e+02,1.298e-26"
"2.128e+02,1.358e-26"
"2.128e+02,1.407e-26"
"2.128e+02,1.447e-26"
"2.129e+02,1.480e-26"
"2.129e+02,1.507e-26"
"2.129e+02,1.531e-26"
"2.129e+02,1.552e-26"
"2.129e+02,1.571e-26"
"2.130e+02,1.590e-26"
"2.130e+02,1.608e-26"
"2.130e+02,1.626e-26"
"2.130e+02,1.644e-26"
"2.130e+02,1.662e-26"
"2.131e+02,1.681e-26"
"2.131e+02,1.700e-26"
"2.131e+02,1.719e-26"
"2.131e+02,1.739e-26"
"2.131e+02,1.759e-26"
"2.132e+02,1.779e-26"
"2.132e+02,1.799e-26"
"2.132e+02,1.820e-26"
"2.132e+02,1.841e-26"
"2.132e+02,1.863e-26"
"2.133e+02,1.885e-26"
"2.133e+02,1.908e-26"
"2.133e+02,1.930e-26"
"2.133e+02,1.954e-26"
"2.133e+02,1.977e-26"
"2.134e+02,2.001e-26"
"2.134e+02,2.026e-26"
"2.134e+02,2.051e-26"
"2.134e+02,2.076e-26"
"2.134e+02,2.102e-26"
"2.135e+02,2.129e-26"
"2.135e+02,2.156e-26"
"2.135e+02,2.183e-26"
"2.135e+02,2.211e-26"
"2.135e+02,2.240e-26"
"2.136e+02,2.269e-26"
"2.136e+02,2.298e-26"
"2.136e+02,2.328e-26"
"2.136e+02,2.359e-26"
"2.136e+02,2.391e-26"
"2.137e+02,2.423e-26"
"2.137e+02,2.455e-26"
"2.137e+02,2.489e-26"
"2.137e+02,2.523e-26"
"2.137e+02,2.558e-26"
"2.138e+02,2.593e-26"
"2.138e+02,2.629e-26"
"2.138e+02,2.667e-26"
"2.138e+02,2.704e-26"
"2.138e+02,2.743e-26"
"2.139e+02,2.782e-26"
"2.139e+02,2.823e-26"
"2.139e+02,2.864e-26"
"2.139e+02,2.906e-26"
"2.139e+02,2.949e-26"
"2.140e+02,2.993e-26"
"2.140e+02,3.038e-26"
"2.140e+02,3.084e-26"
"2.140e+02,3.131e-26"
"2.140e+02,3.179e-26"
"2.141e+02,3.229e-26"
"2.141e+02,3.279e-26"
"2.141e+02,3.331e-26"
"2.141e+02,3.383e-26"
"2.141e+02,3.438e-26"
"2.142e+02,3.493e-26"
"2.142e+02,3.550e-26"
"2.142e+02,3.608e-26"
"2.142e+02,3.668e-26"
"2.142e+02,3.729e-26"
"2.143e+02,3.791e-26"
"2.143e+02,3.856e-26"
"2.143e+02,3.922e-26"
"2.143e+02,3.989e-26"
"2.143e+02,4.059e-26"
"2.144e+02,4.130e-26"
"2.144e+02,4.203e-26"
"2.144e+02,4.278e-26"
"2.144e+02,4.355e-26"
"2.144e+02,4.434e-26"
"2.145e+02,4.516e-26"
"2.145e+02,4.599e-26"
"2.145e+02,4.685e-26"
"2.145e+02,4.774e-26"
"2.145e+02,4.865e-26"
"2.146e+02,4.959e-26"
"2.146e+02,5.055e-26"
"2.146e+02,5.154e-26"
"2.146e+02,5.256e-26"
"2.146e+02,5.362e-26"
"2.147e+02,5.470e-26"
"2.147e+02,5.582e-26"
"2.147e+02,5.697e-26"
"2.147e+02,5.816e-26"
"2.147e+02,5.938e-26"
"2.148e+02,6.065e-26"
"2.148e+02,6.196e-26"
"2.148e+02,6.331e-26"
"2.148e+02,6.470e-26"
"2.148e+02,6.614e-26"
"2.149e+02,6.763e-26"
"2.149e+02,6.917e-26"
"2.149e+02,7.076e-26"
"2.149e+02,7.241e-26"
"2.149e+02,7.412e-26"
"2.150e+02,7.589e-26"
"2.150e+02,7.772e-26"
"2.150e+02,7.963e-26"
"2.150e+02,8.160e-26"
"2.150e+02,8.364e-26"
"2.151e+02,8.577e-26"
"2.151e+02,8.798e-26"
"2.151e+02,9.027e-26"
"2.151e+02,9.265e-26"
"2.151e+02,9.514e-26"
"2.152e+02,9.772e-26"
"2.152e+02,1.004e-25"
"2.152e+02,1.032e-25"
"2.152e+02,1.061e-25"
"2.152e+02,1.092e-25"
"2.153e+02,1.124e-25"
"2.153e+02,1.157e-25"
"2.153e+02,1.192e-25"
"2.153e+02,1.228e-25"
"2.153e+02,1.266e-25"
"2.154e+02,1.306e-25"
"2.154e+02,1.348e-25"
